,Income,Age,Experience,Married/Single,House_Ownership,Car_Ownership,Profession,CITY,STATE,CURRENT_JOB_YRS,CURRENT_HOUSE_YRS,y_pred1
47,5976201,37,12,single,rented,no,Consultant,Anantapuram[24],Andhra Pradesh,4,11,1
48,825676,30,9,single,rented,yes,Psychologist,Gulbarga,Karnataka,9,13,1
49,8382400,76,18,single,rented,yes,Industrial Engineer,Visakhapatnam[4],Andhra Pradesh,4,13,1
50,6164439,65,4,married,rented,no,Chef,Morbi,Gujarat,4,11,1
51,3458394,56,9,single,rented,yes,Air traffic controller,Tirupati[21][22],Andhra Pradesh,9,12,1
52,732443,65,4,single,rented,no,Physician,Karnal,Haryana,4,14,1
53,5724223,47,0,single,rented,no,Lawyer,Raichur,Karnataka,0,12,1
54,743219,54,5,single,owned,no,Statistician,Haridwar,Uttarakhand,5,12,1
55,8806392,61,5,married,rented,no,Software Developer,Giridih,Jharkhand,5,13,1
56,1215004,25,5,single,rented,no,Firefighter,Jalna,Maharashtra,5,10,1
57,9493120,63,19,single,rented,no,Hotel Manager,Nagercoil,Tamil Nadu,12,11,1
58,4351817,31,3,married,rented,no,Hotel Manager,Tadepalligudem,Andhra Pradesh,3,11,1
59,62058,66,16,single,rented,yes,Industrial Engineer,Coimbatore,Tamil Nadu,13,11,1
60,1506859,30,11,single,rented,no,Surveyor,Raichur,Karnataka,5,10,1
61,1117930,79,15,single,rented,no,Drafter,Rohtak,Haryana,9,12,1
62,599470,53,17,single,rented,no,Flight attendant,Srinagar,Jammu and Kashmir,3,13,1
63,1759925,47,18,single,owned,no,Comedian,Katni,Madhya Pradesh,7,14,1
64,1077795,29,1,single,rented,no,Army officer,Rewa,Madhya Pradesh,1,14,1
65,7465121,37,2,single,rented,yes,Microbiologist,Siliguri,West Bengal,2,12,1
66,2265601,72,16,single,rented,no,Comedian,Buxar[37],Bihar,5,12,1
67,3545959,28,6,single,rented,no,Magistrate,Mangalore,Karnataka,6,13,1
68,9434706,30,9,single,rented,no,Secretary,Shimoga,Karnataka,9,13,1
69,4646074,77,16,single,rented,no,Software Developer,Guwahati,Assam,6,13,1
70,235563,48,5,married,rented,no,Flight attendant,Katihar,Bihar,5,11,1
71,8557058,33,2,single,rented,no,Industrial Engineer,Deoghar,Jharkhand,2,14,1
72,6165156,28,7,married,owned,no,Chef,Farrukhabad,Uttar Pradesh,7,13,1
73,6619894,44,16,married,rented,yes,Politician,Etawah,Uttar Pradesh,6,14,1
74,4732134,67,19,married,rented,no,Mechanical engineer,Kharagpur,West Bengal,6,11,1
75,7171033,68,19,married,rented,no,Computer operator,Jalandhar,Punjab,4,10,1
76,350406,40,13,single,norent_noown,no,Technical writer,"Khora, Ghaziabad",Uttar Pradesh,8,13,1
77,9984878,51,18,single,rented,yes,Comedian,Jammu[16],Jammu and Kashmir,8,12,1
78,3611839,55,20,single,rented,no,Civil servant,Aurangabad[39],Bihar,10,12,1
79,8998014,72,13,single,rented,yes,Politician,Pondicherry,Puducherry,9,11,1
80,2024213,38,19,single,rented,no,Comedian,Durg,Chhattisgarh,8,14,1
81,6368882,46,7,single,rented,no,Analyst,Chittoor[28],Andhra Pradesh,3,10,1
82,5867006,21,3,single,rented,no,Technology specialist,Miryalaguda,Telangana,3,11,1
83,7872490,27,0,single,owned,yes,Web designer,Avadi,Tamil Nadu,0,10,1
84,4618837,24,5,single,rented,no,Physician,Chennai,Tamil Nadu,5,12,1
85,4902965,32,7,married,rented,no,Comedian,Nagercoil,Tamil Nadu,7,11,1
86,7413713,71,5,single,rented,yes,Librarian,Tirunelveli,Tamil Nadu,5,13,1
87,30515,73,12,single,rented,no,Physician,Gandhidham,Gujarat,3,11,1
88,3171323,21,17,single,rented,no,Industrial Engineer,Shimla,Himachal Pradesh,5,12,1
89,1013313,32,16,single,rented,no,Geologist,Bulandshahr,Uttar Pradesh,10,12,1
90,7805855,44,10,single,rented,yes,Industrial Engineer,Eluru[25],Andhra Pradesh,10,14,1
91,7298829,59,16,single,rented,no,Politician,Bharatpur,Rajasthan,3,13,1
92,3369187,59,3,single,rented,yes,Surgeon,Tirunelveli,Tamil Nadu,3,14,1
93,8301578,59,3,single,rented,no,Artist,Bally,West Bengal,3,11,1
94,1169819,72,18,single,rented,yes,Computer operator,Vadodara,Gujarat,11,10,1
95,5535441,66,0,single,rented,no,Drafter,Nashik,Maharashtra,0,13,1
96,9249971,69,4,single,rented,no,Physician,Pali,Rajasthan,4,14,1
97,486603,33,20,single,rented,no,Librarian,Bharatpur,Rajasthan,5,13,1
98,7505485,27,17,single,rented,yes,Politician,Erode[17],Tamil Nadu,12,12,1
99,4946039,60,0,single,rented,no,Financial Analyst,Kolkata,West Bengal,0,10,1
100,5620082,58,14,single,rented,no,Politician,Akola,Maharashtra,9,11,1
101,9120988,28,9,single,rented,no,Physician,Erode[17],Tamil Nadu,9,12,1
102,5829652,25,7,single,owned,no,Biomedical Engineer,Chandigarh_city,Chandigarh,7,11,1
103,8141031,23,17,single,rented,no,Secretary,Vijayanagaram,Andhra Pradesh,3,11,1
104,9758182,33,9,single,rented,no,Civil engineer,Chennai,Tamil Nadu,7,11,1
105,7053325,31,8,single,rented,no,Mechanical engineer,Mau,Uttar Pradesh,8,11,1
106,5090745,35,5,married,rented,no,Chartered Accountant,Aizawl,Mizoram,5,12,1
107,6044767,60,12,single,rented,yes,Engineer,Coimbatore,Tamil Nadu,10,13,1
108,1161306,32,5,single,rented,no,Psychologist,Chittoor[28],Andhra Pradesh,5,10,1
109,9086933,55,7,single,rented,no,Air traffic controller,Saharanpur,Uttar Pradesh,7,13,1
110,3052236,70,0,single,rented,yes,Scientist,Jehanabad[38],Bihar,0,10,1
111,2116651,55,18,single,rented,yes,Graphic Designer,Suryapet,Telangana,12,14,1
112,7919486,36,12,single,rented,no,Surgeon,Thoothukudi,Tamil Nadu,8,12,1
113,8773158,58,18,single,rented,yes,Firefighter,Serampore,West Bengal,5,13,1
114,2451457,31,9,married,rented,no,Politician,Bulandshahr,Uttar Pradesh,9,12,1
115,9482759,67,19,single,rented,no,Psychologist,Kulti,West Bengal,12,12,1
116,8797493,55,15,single,rented,no,Technology specialist,Coimbatore,Tamil Nadu,12,13,1
117,4330847,67,2,single,rented,no,Technician,Sambhal,Uttar Pradesh,2,14,1
118,6467283,65,13,single,rented,yes,Architect,Morena,Madhya Pradesh,11,12,1
119,1859505,60,7,single,rented,no,Design Engineer,Sambalpur,Odisha,7,11,1
120,1295939,43,6,single,rented,yes,Drafter,Alwar,Rajasthan,6,14,1
121,8565626,23,8,single,rented,no,Design Engineer,Chandrapur,Maharashtra,6,11,1
122,7982817,60,6,single,rented,yes,Psychologist,Bhiwani,Haryana,5,14,1
123,3318035,55,4,single,rented,yes,Drafter,Vijayanagaram,Andhra Pradesh,4,13,1
124,4089728,22,18,single,rented,no,Scientist,Bulandshahr,Uttar Pradesh,8,14,1
125,7278093,77,17,single,rented,no,Chemical engineer,Sirsa,Haryana,10,14,1
126,8639080,67,14,single,rented,no,Drafter,Tenali,Andhra Pradesh,7,14,1
127,7479878,55,8,married,rented,no,Analyst,Allahabad,Uttar Pradesh[5],8,14,1
128,1796846,45,16,single,rented,yes,Software Developer,Bidar,Karnataka,9,14,1
129,6820376,31,20,single,rented,no,Financial Analyst,Kalyan-Dombivli,Maharashtra,10,10,1
130,7213058,50,12,single,rented,no,Army officer,Amravati,Maharashtra,4,12,1
131,4560641,72,7,single,rented,no,Scientist,Pudukkottai,Tamil Nadu,7,13,1
132,8806392,61,5,married,rented,no,Software Developer,Giridih,Jharkhand,5,13,1
133,2366869,27,7,married,norent_noown,yes,Air traffic controller,Madanapalle,Andhra Pradesh,7,10,1
134,7591621,41,6,single,owned,no,Artist,Jaunpur,Uttar Pradesh,3,14,1
135,1379217,23,4,single,rented,no,Civil servant,Jamalpur[36],Bihar,4,14,1
136,8692332,61,3,single,rented,no,Civil engineer,Warangal[11][12],Telangana,3,13,1
137,5830306,68,16,married,rented,no,Analyst,Visakhapatnam[4],Andhra Pradesh,7,10,1
138,6720927,64,17,single,rented,no,Web designer,Berhampur,Odisha,5,12,1
139,1696344,31,18,single,rented,no,Librarian,Amritsar,Punjab,13,10,1
140,7714522,37,0,single,rented,yes,Surgeon,Satna,Madhya Pradesh,0,10,1
141,3711307,22,20,single,rented,yes,Economist,Ozhukarai,Puducherry,10,12,1
142,4560641,72,7,single,rented,no,Scientist,Pudukkottai,Tamil Nadu,7,13,1
143,6466990,37,13,single,rented,no,Technical writer,Chittoor[28],Andhra Pradesh,6,14,1
144,9791368,76,15,single,rented,yes,Secretary,Shivpuri,Madhya Pradesh,3,11,1
145,6448514,30,6,single,rented,no,Magistrate,Bihar Sharif,Bihar,6,10,1
146,362328,25,14,single,rented,no,Design Engineer,Raebareli,Uttar Pradesh,8,12,1
147,6940796,46,17,single,rented,no,Analyst,Bhiwandi,Maharashtra,9,11,1
148,1852247,64,9,single,rented,yes,Aviator,Shivpuri,Madhya Pradesh,8,14,1
149,6816106,31,20,single,rented,yes,Statistician,Adoni,Andhra Pradesh,11,14,1
150,9131685,72,13,single,norent_noown,no,Computer hardware engineer,Rajkot,Gujarat,13,10,1
151,9508412,36,0,single,rented,no,Comedian,Kadapa[23],Andhra Pradesh,0,10,1
152,9627539,56,2,single,rented,yes,Designer,Varanasi,Uttar Pradesh,2,13,1
153,4660756,78,0,single,rented,yes,Physician,Meerut,Uttar Pradesh,0,12,1
154,3763002,27,2,single,rented,yes,Computer hardware engineer,Salem,Tamil Nadu,2,10,1
155,3318035,55,4,single,rented,yes,Drafter,Vijayanagaram,Andhra Pradesh,4,13,1
156,2907457,55,18,single,rented,no,Hotel Manager,Medininagar,Jharkhand,10,14,1
157,2632398,65,2,single,rented,no,Microbiologist,Thane,Maharashtra,2,14,1
158,3714943,36,12,single,rented,no,Aviator,Madurai,Tamil Nadu,8,12,1
159,3304937,63,19,single,rented,yes,Fashion Designer,Ghaziabad,Uttar Pradesh,14,13,1
160,2570723,45,15,single,rented,no,Mechanical engineer,Anand,Gujarat,6,12,1
161,7058393,68,11,single,rented,no,Industrial Engineer,Panipat,Haryana,11,11,1
162,9967854,33,9,single,rented,no,Consultant,Jalna,Maharashtra,5,13,1
163,2824175,54,0,single,rented,no,Chef,Serampore,West Bengal,0,10,1
164,233888,64,1,single,rented,no,Psychologist,Tumkur,Karnataka,1,10,1
165,354766,78,0,single,rented,no,Computer hardware engineer,Saharanpur,Uttar Pradesh,0,10,1
166,1259577,66,15,single,rented,no,Economist,Machilipatnam,Andhra Pradesh,3,10,1
167,1716587,37,0,single,rented,no,Economist,Chandigarh_city,Chandigarh,0,11,1
168,8442438,23,17,single,norent_noown,no,Mechanical engineer,Hindupur,Andhra Pradesh,3,14,1
169,6947233,62,10,single,rented,no,Technical writer,Bidar,Karnataka,10,12,1
170,267827,28,10,single,rented,yes,Biomedical Engineer,Kumbakonam,Tamil Nadu,3,10,1
171,448021,54,11,single,rented,no,Flight attendant,Solapur,Maharashtra,11,14,1
172,4658830,45,11,single,rented,yes,Computer hardware engineer,Amroha,Uttar Pradesh,8,10,1
173,7515439,74,6,single,rented,no,Politician,Davanagere,Karnataka,6,11,1
174,1705824,27,15,single,owned,no,Graphic Designer,Anantapuram[24],Andhra Pradesh,13,10,1
175,9103667,54,3,married,owned,no,Software Developer,Howrah,West Bengal,3,12,1
176,5602315,50,12,single,rented,no,Economist,Miryalaguda,Telangana,11,14,1
177,9259060,54,16,single,rented,yes,Surveyor,Sirsa,Haryana,10,14,1
178,8398435,50,9,single,norent_noown,yes,Economist,Vijayawada,Andhra Pradesh,8,10,1
179,9516861,67,0,single,rented,no,Engineer,Dehri[30],Bihar,0,13,1
180,4375780,66,3,single,owned,no,Secretary,Bidar,Karnataka,3,10,1
181,1867623,60,2,single,rented,yes,Chef,Ambattur,Tamil Nadu,2,13,1
182,6845511,78,14,single,rented,no,Fashion Designer,Saharanpur,Uttar Pradesh,4,12,1
183,408434,34,8,single,rented,yes,Chartered Accountant,Suryapet,Telangana,4,12,1
184,9879257,35,8,single,rented,yes,Technical writer,Jaipur,Rajasthan,4,10,1
185,2624615,66,4,single,rented,yes,Computer hardware engineer,Vijayawada,Andhra Pradesh,4,12,1
186,2307412,57,7,single,rented,no,Scientist,Aurangabad,Maharashtra,5,14,1
187,7627512,44,14,single,rented,no,Chemical engineer,Ulhasnagar,Maharashtra,5,13,1
188,2359728,66,14,single,rented,no,Industrial Engineer,Vijayawada,Andhra Pradesh,3,14,1
189,4210306,59,7,single,rented,no,Civil engineer,Bathinda,Punjab,7,11,1
190,6373227,68,19,single,rented,yes,Technology specialist,Bahraich,Uttar Pradesh,6,13,1
191,681276,48,19,single,rented,no,Designer,Singrauli,Madhya Pradesh,13,13,1
192,7302729,70,14,single,rented,no,Aviator,Bongaigaon,Assam,11,11,1
193,729340,57,13,single,rented,no,Lawyer,Dehradun,Uttarakhand,13,10,1
194,3767057,33,20,single,rented,no,Official,Udupi,Karnataka,6,11,1
195,4543268,32,17,single,rented,no,Flight attendant,Tenali,Andhra Pradesh,3,13,1
196,9221997,35,14,single,rented,yes,Microbiologist,Indore,Madhya Pradesh,9,13,1
197,8437491,22,2,single,rented,no,Industrial Engineer,Etawah,Uttar Pradesh,2,14,1
198,9544863,61,20,single,owned,no,Architect,Agartala,Tripura,14,14,1
199,4273001,62,14,single,norent_noown,yes,Politician,Darbhanga,Bihar,14,14,1
200,5604441,66,4,single,rented,yes,Civil engineer,Junagadh,Gujarat,4,11,1
201,3269849,43,9,single,rented,no,Aviator,Guna,Madhya Pradesh,9,14,1
202,7429005,69,2,married,rented,no,Computer hardware engineer,Gandhidham,Gujarat,2,13,1
203,3878753,36,0,single,rented,no,Civil engineer,Kota[6],Rajasthan,0,10,1
204,319857,78,20,single,rented,no,Dentist,Korba,Chhattisgarh,9,13,1
205,5695568,45,3,single,rented,no,Economist,Ratlam,Madhya Pradesh,3,11,1
206,5737594,26,11,single,rented,no,Lawyer,Gurgaon,Haryana,10,12,1
207,8749318,21,15,married,rented,yes,Petroleum Engineer,Giridih,Jharkhand,4,14,1
208,289113,40,5,single,rented,yes,Politician,Bilaspur,Chhattisgarh,5,12,1
209,3330944,52,7,single,norent_noown,no,Biomedical Engineer,Thanjavur,Tamil Nadu,7,10,1
210,408434,34,8,single,rented,yes,Chartered Accountant,Suryapet,Telangana,4,12,1
211,2699320,27,1,single,rented,no,Police officer,Mangalore,Karnataka,1,10,1
212,2150637,62,18,single,rented,yes,Lawyer,New Delhi,Delhi,10,10,1
213,9508412,36,0,single,rented,no,Comedian,Kadapa[23],Andhra Pradesh,0,10,1
214,5879597,46,17,single,rented,no,Graphic Designer,Bathinda,Punjab,9,11,1
215,9782912,63,7,single,rented,no,Software Developer,Kollam,Kerala,6,10,1
216,3602416,48,3,single,rented,no,Air traffic controller,Ratlam,Madhya Pradesh,3,13,1
217,7896776,26,12,single,rented,no,Mechanical engineer,Karimnagar,Telangana,9,14,1
218,1243869,22,17,single,rented,no,Technology specialist,Silchar,Assam,9,10,1
219,8295121,50,11,single,rented,no,Army officer,Korba,Chhattisgarh,5,11,1
220,3351044,32,3,single,rented,no,Flight attendant,Indore,Madhya Pradesh,3,11,1
221,3115746,21,12,single,rented,no,Mechanical engineer,Nizamabad,Telangana,3,14,1
222,7287661,58,4,single,rented,yes,Surveyor,Vellore,Tamil Nadu,4,14,1
223,8812899,79,17,single,rented,no,Psychologist,Pune,Maharashtra,9,11,1
224,2429683,43,20,single,rented,no,Financial Analyst,Siliguri,West Bengal,14,11,1
225,3884230,25,13,single,rented,no,Scientist,Nagercoil,Tamil Nadu,10,11,1
226,4668248,49,5,single,rented,yes,Computer hardware engineer,Durgapur,West Bengal,5,11,1
227,5764547,21,8,single,rented,no,Petroleum Engineer,Thrissur,Kerala,7,10,1
228,3013661,71,3,single,owned,no,Biomedical Engineer,Kirari Suleman Nagar,Delhi,3,14,1
229,4175765,79,3,single,rented,no,Physician,Mysore[7][8][9],Karnataka,3,13,1
230,1134496,77,3,single,rented,no,Surgeon,Jehanabad[38],Bihar,3,10,1
231,5604484,51,14,single,rented,no,Geologist,Sikar,Rajasthan,4,13,1
232,8415149,30,19,married,rented,no,Artist,Darbhanga,Bihar,3,10,1
233,7596972,23,4,single,norent_noown,yes,Analyst,Nizamabad,Telangana,4,12,1
234,5090840,78,12,single,rented,no,Flight attendant,Nagpur,Maharashtra,5,11,1
235,651491,61,6,single,rented,yes,Air traffic controller,Buxar[37],Bihar,4,12,1
236,6653271,49,11,single,rented,no,Civil engineer,Kochi,Kerala,11,10,1
237,1601803,40,1,single,rented,no,Civil engineer,Bettiah[33],Bihar,1,10,1
238,3539122,28,11,single,rented,no,Technician,Alappuzha,Kerala,4,13,1
239,2712710,70,8,single,rented,no,Psychologist,Khandwa,Madhya Pradesh,5,11,1
240,9142815,26,3,married,rented,yes,Technology specialist,Berhampore,West Bengal,3,12,1
241,2304556,51,12,single,rented,no,Police officer,Nashik,Maharashtra,8,10,1
242,5143268,53,4,single,rented,no,Official,Tenali,Andhra Pradesh,4,11,1
243,3468402,50,10,single,rented,no,Secretary,Hyderabad,Telangana,7,14,1
244,8631895,27,12,married,rented,no,Secretary,Giridih,Jharkhand,7,14,1
245,1273453,61,12,married,rented,no,Technical writer,Khammam,Telangana,3,11,1
246,8280263,28,16,single,rented,no,Flight attendant,Aizawl,Mizoram,14,11,1
247,4913009,65,20,single,rented,yes,Software Developer,Rajahmundry[19][20],Andhra Pradesh,4,12,1
248,3753824,28,7,single,rented,no,Microbiologist,Muzaffarnagar,Uttar Pradesh,7,11,1
249,181528,39,17,single,rented,no,Drafter,Hajipur[31],Bihar,3,12,1
250,4973814,24,19,single,rented,no,Computer operator,Amritsar,Punjab,6,12,1
251,1434051,67,18,single,rented,no,Psychologist,Kishanganj[35],Bihar,10,13,1
252,9165973,37,14,single,norent_noown,yes,Dentist,Arrah,Bihar,11,11,1
253,6083790,31,5,single,rented,no,Physician,Sagar,Madhya Pradesh,4,11,1
254,5865707,76,3,single,rented,no,Scientist,Jodhpur,Rajasthan,3,13,1
255,1088718,60,5,single,rented,yes,Surveyor,Tezpur,Assam,5,10,1
256,6864774,32,16,single,rented,no,Mechanical engineer,Begusarai,Bihar,9,13,1
257,1542970,28,14,single,owned,no,Drafter,Mira-Bhayandar,Maharashtra,5,12,1
258,1209322,41,10,single,rented,yes,Politician,Bidhannagar,West Bengal,10,13,1
259,7747070,28,16,single,rented,no,Aviator,Nellore[14][15],Andhra Pradesh,9,12,1
260,3432974,58,19,single,rented,no,Army officer,Saharsa[29],Bihar,12,14,1
261,1967194,58,9,single,rented,no,Air traffic controller,Rewa,Madhya Pradesh,9,11,1
262,267925,76,12,married,rented,no,Politician,Bally,West Bengal,6,12,1
263,8683788,21,16,single,rented,yes,Technical writer,Gopalpur,West Bengal,10,11,1
264,7797908,22,4,single,rented,yes,Official,Nagercoil,Tamil Nadu,4,14,1
265,1528267,58,6,single,rented,no,Financial Analyst,Raichur,Karnataka,3,11,1
266,1955543,22,6,married,rented,yes,Police officer,Kollam,Kerala,6,14,1
267,5951881,27,17,single,rented,no,Geologist,Sonipat,Haryana,3,14,1
268,4334000,36,4,single,rented,no,Politician,Berhampur,Odisha,4,11,1
269,8908371,25,16,single,rented,no,Chef,Guwahati,Assam,7,11,1
270,4342058,26,4,single,rented,yes,Technology specialist,Noida,Uttar Pradesh,4,10,1
271,2237433,65,19,single,rented,no,Consultant,Begusarai,Bihar,7,12,1
272,5975878,56,17,married,rented,no,Financial Analyst,Katihar,Bihar,6,11,1
273,4719877,74,15,single,rented,no,Civil servant,Secunderabad,Telangana,11,10,1
274,173096,40,13,single,rented,no,Politician,Ahmedabad,Gujarat,3,13,1
275,4145551,46,15,married,rented,no,Statistician,Aligarh,Uttar Pradesh,11,13,1
276,1494586,63,20,single,rented,yes,Financial Analyst,Nandyal,Andhra Pradesh,3,11,1
277,5074140,61,18,single,rented,no,Analyst,Rourkela,Odisha,14,12,1
278,2915439,62,0,married,rented,yes,Surveyor,Udaipur,Rajasthan,0,13,1
279,1883575,49,16,single,rented,yes,Technician,Jamnagar,Gujarat,14,12,1
280,5358407,22,3,single,rented,no,Software Developer,Hosur,Tamil Nadu,3,10,1
281,3438381,46,6,single,rented,no,Web designer,Khandwa,Madhya Pradesh,6,12,1
282,3231341,47,6,married,rented,no,Scientist,Kochi,Kerala,6,14,1
283,7648698,68,16,single,rented,yes,Psychologist,Jhansi,Uttar Pradesh,13,10,1
284,3632441,66,2,single,rented,yes,Statistician,Jabalpur,Madhya Pradesh,2,13,1
285,5695568,45,3,single,rented,no,Economist,Ratlam,Madhya Pradesh,3,11,1
286,5218820,76,14,single,owned,no,Civil servant,Karimnagar,Telangana,12,14,1
287,5783146,51,18,single,rented,no,Psychologist,Chittoor[28],Andhra Pradesh,7,12,1
288,7710303,41,12,single,rented,yes,Comedian,Motihari[34],Bihar,4,14,1
289,6802871,54,20,single,rented,yes,Industrial Engineer,Kadapa[23],Andhra Pradesh,7,13,1
290,2436593,54,19,single,rented,no,Firefighter,Jehanabad[38],Bihar,6,13,1
291,6650638,47,19,single,rented,yes,Technical writer,Anand,Gujarat,12,13,1
292,9177752,45,16,single,rented,no,Firefighter,Delhi_city,Delhi,10,13,1
293,3369187,59,3,single,rented,yes,Surgeon,Tirunelveli,Tamil Nadu,3,14,1
294,8007036,56,14,single,owned,no,Biomedical Engineer,Kirari Suleman Nagar,Delhi,4,13,1
295,7442529,57,6,single,rented,yes,Chef,Saharsa[29],Bihar,5,10,1
296,2319807,79,20,single,rented,no,Chemical engineer,Raichur,Karnataka,9,10,1
297,9006540,79,14,single,rented,no,Lawyer,Meerut,Uttar Pradesh,13,11,1
298,6414837,40,3,single,rented,no,Geologist,Thrissur,Kerala,3,14,1
299,8800769,29,4,single,rented,no,Microbiologist,Vasai-Virar,Maharashtra,4,12,1
300,7783136,44,13,single,rented,no,Physician,Miryalaguda,Telangana,9,12,1
301,3460548,36,13,single,rented,no,Web designer,Kumbakonam,Tamil Nadu,5,13,1
302,5764101,35,13,single,rented,no,Architect,Anand,Gujarat,13,11,1
303,1148139,27,9,single,rented,no,Statistician,Visakhapatnam[4],Andhra Pradesh,5,14,1
304,4940114,43,8,single,rented,no,Economist,Kulti,West Bengal,8,10,1
305,6357644,37,5,single,rented,no,Surgeon,Raebareli,Uttar Pradesh,5,12,1
306,2368485,27,10,single,norent_noown,no,Army officer,Kharagpur,West Bengal,7,12,1
307,2363227,66,18,single,rented,yes,Physician,Kolkata,West Bengal,4,11,1
308,5130335,54,4,single,rented,no,Computer operator,Nizamabad,Telangana,4,13,1
309,3376799,24,6,single,rented,no,Computer hardware engineer,Moradabad,Uttar Pradesh,6,13,1
310,4754357,25,0,single,rented,no,Lawyer,Pondicherry,Puducherry,0,12,1
311,7298077,35,2,single,rented,no,Flight attendant,Bhiwandi,Maharashtra,2,13,1
312,8936935,36,0,single,rented,no,Surveyor,Jorhat,Assam,0,14,1
313,2829317,46,13,single,rented,no,Physician,Parbhani,Maharashtra,7,11,1
314,9718890,56,13,single,norent_noown,no,Chef,Proddatur,Andhra Pradesh,8,14,1
315,8908371,25,16,single,rented,no,Chef,Guwahati,Assam,7,11,1
316,6101750,64,4,single,rented,yes,Psychologist,Bhubaneswar,Odisha,4,11,1
317,9635286,73,15,single,rented,yes,Psychologist,Anand,Gujarat,8,11,1
318,2082678,27,2,single,rented,no,Technology specialist,Guwahati,Assam,2,10,1
